offset,ascii,original_current_equal,classification,already_in_711_ui_inventory,status
0x9b8,"SearchFile error (%s)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0xa34,"file not found: %s
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0xdb4,%2d     %3d/%3d     %3d/%3d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0xe04,%03d/%03d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x1174,"SetGraphDebug:level:%d,type:%d reverse:%d
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x11ac,"GPU timeout:QUE=(%2d,%2d),CODE=(%d,%d,%08X)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x11dc,"tpage: (%d,%d,%d,%d)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x11f4,"clut: (%d,%d)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x1204,"clip (%3d,%3d)-(%d,%d)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x121c,"ofs  (%3d,%3d)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x122c,"tw   (%d,%d)-(%d,%d)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x1244,"dtd   %d
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x1250,"dfe   %d
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x125c,"disp   (%3d,%3d)-(%d,%d)
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
